SAMPLE_NAME	JC2084_S48_R1_001
UNIQUE_FRAGMENT_TOTAL	43579
UNIQUE_FRAGMENT_ALIGNED	43452
UNIQUE_FRAGMENT_FILTERED	43452
UNIQUE_FRAGMENT_FILTERED_ON_TARGET	24603
UNIQUE_FRAGMENT_FILTERED_ON_TARGET_PERCENT	56.62
UNIQUE_FRAGMENT_FILTERED_OFF_TARGET	18849
UNIQUE_FRAGMENT_FILTERED_OFF_TARGET_PERCENT	43.38
RAW_FRAGMENT_TOTAL	618150
RAW_FRAGMENT_ALIGNED	617934
RAW_FRAGMENT_FILTERED	617934
RAW_FRAGMENT_FILTERED_ON_TARGET	589486
RAW_FRAGMENT_FILTERED_ON_TARGET_PERCENT	95.40
RAW_FRAGMENT_FILTERED_OFF_TARGET	28448
RAW_FRAGMENT_FILTERED_OFF_TARGET_PERCENT	4.60
JUNK_PERCENT	0.03
ON_TARGET_DEDUPLICATION_RATIO	23.96:1
TOTAL_UNIQUE_RNA_START_SITES	708
TOTAL_UNIQUE_RNA_START_SITES_PERCENT	6.68113617061
TOTAL_UNIQUE_DNA_START_SITES	6540
TOTAL_UNIQUE_DNA_START_SITES_PERCENT	61.7155798811
TOTAL_UNIQUE_AMBIG_START_SITES	4455
TOTAL_UNIQUE_AMBIG_START_SITES_PERCENT	42.0402000566
TOTAL_UNIQUE_DNA_AND_AMBIG_START_SITES	9969
TOTAL_UNIQUE_DNA_AND_AMBIG_START_SITES_PERCENT	94.0737944701
TOTAL_UNIQUE_START_SITES	10597
GSP2_1_NAME	AKT1_chr14_105246503_25_+_A1_GSP2
GSP2_1_TYPE	TARGET
GSP2_1_UNIQUE_READS	103
GSP2_1_RAW_READS	2568
GSP2_1_UNIQUE_READS_PERCENT	0.419
GSP2_1_UNIQUE_RNA_READS	0
GSP2_1_UNIQUE_RNA_READS_PERCENT	0.000
GSP2_1_UNIQUE_RNA_START_SITES	0
GSP2_1_UNIQUE_RNA_START_SITES_PERCENT	0.000
GSP2_1_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	0
GSP2_1_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	0
GSP2_1_UNIQUE_DNA_READS	70
GSP2_1_UNIQUE_DNA_READS_PERCENT	0.536
GSP2_1_UNIQUE_DNA_START_SITES	38
GSP2_1_UNIQUE_DNA_START_SITES_PERCENT	0.581
GSP2_1_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	89.8142857143
GSP2_1_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	79.5
GSP2_1_UNIQUE_AMBIG_READS	33
GSP2_1_UNIQUE_AMBIG_READS_PERCENT	0.307
GSP2_1_UNIQUE_AMBIG_START_SITES	14
GSP2_1_UNIQUE_AMBIG_START_SITES_PERCENT	0.314
GSP2_1_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	45.303030303
GSP2_1_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	46
GSP2_1_UNIQUE_START_SITES	52
GSP2_1_UNIQUE_START_SITES_PERCENT	0.491
GSP2_2_NAME	AKT1_chr14_105246579_20_-_A1_GSP2
GSP2_2_TYPE	TARGET
GSP2_2_UNIQUE_READS	111
GSP2_2_RAW_READS	2574
GSP2_2_UNIQUE_READS_PERCENT	0.451
GSP2_2_UNIQUE_RNA_READS	2
GSP2_2_UNIQUE_RNA_READS_PERCENT	0.253
GSP2_2_UNIQUE_RNA_START_SITES	1
GSP2_2_UNIQUE_RNA_START_SITES_PERCENT	0.141
GSP2_2_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	48.5
GSP2_2_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	48.5
GSP2_2_UNIQUE_DNA_READS	109
GSP2_2_UNIQUE_DNA_READS_PERCENT	0.835
GSP2_2_UNIQUE_DNA_START_SITES	60
GSP2_2_UNIQUE_DNA_START_SITES_PERCENT	0.917
GSP2_2_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	93.6788990826
GSP2_2_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	73
GSP2_2_UNIQUE_AMBIG_READS	0
